epoch,accuracy,loss,mae,val_accuracy,val_loss,val_mae
0,0.22965064644813538,0.04916168004274368,0.15900717675685883,0.3886524736881256,0.0285952091217041,0.15198834240436554
1,0.23284269869327545,0.012849448248744011,0.0899709090590477,0.10992907732725143,0.19620192050933838,0.411383718252182
2,0.24649760127067566,0.009649124927818775,0.07767137885093689,0.3716312050819397,0.18471769988536835,0.3984088897705078
3,0.26724597811698914,0.00786111131310463,0.06987255066633224,0.37304964661598206,0.1797713041305542,0.39286643266677856
4,0.29189571738243103,0.0069425711408257484,0.06526144593954086,0.3787234127521515,0.18695208430290222,0.4004591107368469
5,0.3108707070350647,0.006089408416301012,0.06102195009589195,0.38297873735427856,0.15493643283843994,0.3641631007194519
6,0.3225749135017395,0.005436644423753023,0.057467203587293625,0.4482269585132599,0.16134312748908997,0.3712975084781647
7,0.3413725793361664,0.004986934829503298,0.054734859615564346,0.4226950407028198,0.12960447371006012,0.3320316970348358
8,0.3333924412727356,0.004700710065662861,0.052946578711271286,0.5468084812164307,0.13534370064735413,0.3391457796096802
9,0.3541408181190491,0.004201723728328943,0.04986104741692543,0.5858156085014343,0.12040574103593826,0.3195537328720093
10,0.36885973811149597,0.004039634019136429,0.04873717948794365,0.6127659678459167,0.12643663585186005,0.3274310827255249
11,0.3796772360801697,0.003827806096524,0.04723178222775459,0.5879432559013367,0.12516628205776215,0.3256029784679413
12,0.38003191351890564,0.0036966984625905752,0.046231646090745926,0.5148935914039612,0.12911295890808105,0.3308066427707672
13,0.39155879616737366,0.0035200093407183886,0.044973649084568024,0.5283687710762024,0.12712977826595306,0.3281770348548889
14,0.408051073551178,0.0033107378985732794,0.04356372728943825,0.478723406791687,0.09975258260965347,0.290167897939682
15,0.41514453291893005,0.003158276667818427,0.042339347302913666,0.590070903301239,0.10445752739906311,0.2970113754272461
16,0.4247207045555115,0.003073032945394516,0.041678957641124725,0.5872340202331543,0.08487777411937714,0.26721906661987305
17,0.42791274189949036,0.0029887272976338863,0.04091085493564606,0.6184397339820862,0.08789724111557007,0.2718277871608734
18,0.44085830450057983,0.0028393142856657505,0.03975387662649155,0.5829787254333496,0.09413391351699829,0.2810131907463074
19,0.4422770142555237,0.0027425887528806925,0.0389767587184906,0.5205673575401306,0.08670783787965775,0.2696036696434021
20,0.44564640522003174,0.0026967243757098913,0.03849766030907631,0.5936170220375061,0.0794023647904396,0.257739394903183
21,0.44972512125968933,0.00260980986058712,0.037673432379961014,0.541134774684906,0.08389969915151596,0.26501941680908203
22,0.47082817554473877,0.002532085869461298,0.037032149732112885,0.6290780305862427,0.06521642208099365,0.23281075060367584
23,0.4734882116317749,0.002472098683938384,0.036476749926805496,0.6248226761817932,0.0697697177529335,0.24052247405052185
24,0.48395106196403503,0.0024063147138804197,0.03596804663538933,0.6092198491096497,0.05568372458219528,0.21385203301906586
25,0.4903351664543152,0.002418304793536663,0.035953305661678314,0.6092198491096497,0.04991931840777397,0.2015867382287979
